Hand,Win %,Tie %,Loss %
5s 6c,37.8,4.8,57.4
5s 6s,42.0,4.4,53.6
5s 7h,40.8,5.8,53.4
5s 7d,39.2,5.4,55.4
5s 7c,35.8,5.4,58.8
5s 7s,39.4,6.8,53.8
5s 8h,37.6,6.4,56.0
5s 8d,42.0,5.8,52.2
5s 8c,34.6,4.2,61.2
5s 8s,36.0,4.6,59.4
5s 9h,43.8,5.6,50.6
5s 9d,38.6,4.4,57.0
5s 9c,41.0,4.8,54.2
5s 9s,43.6,5.4,51.0
5s Th,38.4,6.6,55.0
5s Td,44.6,4.6,50.8
5s Tc,43.0,3.6,53.4
5s Ts,45.4,3.2,51.4
5s Jh,43.0,5.2,51.8
5s Jd,47.8,3.6,48.6
5s Jc,48.2,4.8,47.0
5s Js,50.2,4.0,45.8
5s Qh,48.8,4.0,47.2
5s Qd,48.0,4.6,47.4
5s Qc,48.4,4.4,47.2
5s Qs,50.8,4.6,44.6
5s Kh,53.2,4.0,42.8
5s Kd,52.4,4.4,43.2
5s Kc,47.6,3.4,49.0
5s Ks,50.2,4.4,45.4
5s Ah,59.6,2.2,38.2
5s Ad,60.6,3.0,36.4
5s Ac,58.4,4.0,37.6
5s As,57.0,4.2,38.8
6h 6d,63.8,0.8,35.4
6h 6c,62.2,1.0,36.8
6h 6s,63.4,1.4,35.2
6h 7h,43.8,5.2,51.0
6h 7d,37.0,5.2,57.8
6h 7c,39.2,5.0,55.8
6h 7s,37.4,6.6,56.0
6h 8h,45.4,6.0,48.6
6h 8d,41.2,6.2,52.6
6h 8c,41.6,4.8,53.6
6h 8s,41.0,3.2,55.8
6h 9h,47.4,4.4,48.2
6h 9d,42.8,4.8,52.4
6h 9c,45.2,4.6,50.2
6h 9s,38.0,6.6,55.4
6h Th,47.4,4.8,47.8
6h Td,47.0,3.2,49.8
6h Tc,44.8,4.2,51.0
6h Ts,39.2,6.2,54.6
6h Jh,47.2,3.2,49.6
6h Jd,45.8,5.4,48.8
6h Jc,43.6,4.4,52.0
6h Js,44.2,3.6,52.2
6h Qh,47.4,2.0,50.6
6h Qd,52.6,3.8,43.6
6h Qc,51.4,4.0,44.6
6h Qs,50.4,3.0,46.6
6h Kh,56.4,2.8,40.8
6h Kd,52.0,4.0,44.0
6h Kc,52.6,3.0,44.4
6h Ks,51.8,5.0,43.2
6h Ah,56.8,4.0,39.2
6h Ad,58.0,3.0,39.0
6h Ac,54.8,3.0,42.2
6h As,54.6,4.2,41.2
6d 6c,62.6,1.4,36.0
6d 6s,64.8,1.0,34.2
6d 7h,36.0,5.2,58.8
6d 7d,38.4,5.2,56.4
6d 7c,37.8,6.0,56.2
6d 7s,42.6,3.2,54.2
6d 8h,41.6,3.4,55.0
6d 8d,43.8,4.4,51.8
6d 8c,38.0,6.6,55.4
6d 8s,41.4,5.0,53.6
6d 9h,42.2,4.4,53.4
6d 9d,43.8,5.2,51.0
6d 9c,42.8,4.8,52.4
6d 9s,43.8,4.6,51.6
6d Th,44.8,4.2,51.0
6d Td,46.6,3.2,50.2
6d Tc,39.8,3.2,57.0
6d Ts,45.4,3.8,50.8
6d Jh,47.8,4.0,48.2
6d Jd,47.4,5.0,47.6
6d Jc,44.2,6.0,49.8
6d Js,44.8,5.0,50.2
6d Qh,50.4,3.4,46.2
6d Qd,53.2,3.8,43.0
6d Qc,46.8,3.0,50.2
6d Qs,50.0,3.4,46.6
6d Kh,52.8,4.4,42.8
6d Kd,53.4,4.8,41.8
6d Kc,57.6,3.6,38.8
6d Ks,51.8,4.8,43.4
6d Ah,51.4,4.0,44.6
6d Ad,55.2,4.4,40.4
6d Ac,56.2,3.2,40.6
6d As,57.6,2.2,40.2
6c 6s,61.4,1.4,37.2
6c 7h,37.4,5.2,57.4
6c 7d,40.6,4.6,54.8
6c 7c,41.8,6.4,51.8
6c 7s,39.4,4.8,55.8
6c 8h,42.0,6.8,51.2
6c 8d,43.2,2.6,54.2
6c 8c,43.6,4.2,52.2
6c 8s,41.0,3.2,55.8
6c 9h,47.6,3.4,49.0
6c 9d,41.0,4.0,55.0
6c 9c,45.2,4.2,50.6
6c 9s,44.8,4.4,50.8
6c Th,41.8,3.0,55.2
6c Td,44.0,4.0,52.0
6c Tc,49.2,4.0,46.8
6c Ts,40.2,4.4,55.4
6c Jh,41.0,4.6,54.4
6c Jd,47.2,3.6,49.2
6c Jc,48.0,3.4,48.6
6c Js,47.2,5.0,47.8
6c Qh,44.8,5.4,49.8
6c Qd,52.8,2.6,44.6
6c Qc,50.4,5.0,44.6
6c Qs,50.2,2.6,47.2
6c Kh,52.4,2.8,44.8
6c Kd,49.6,3.6,46.8
6c Kc,54.8,3.6,41.6
6c Ks,51.0,3.8,45.2
6c Ah,56.4,5.0,38.6
6c Ad,58.6,3.2,38.2
6c Ac,58.4,3.8,37.8
6c As,53.2,5.2,41.6
6s 7h,40.6,5.0,54.4
6s 7d,42.0,4.0,54.0
6s 7c,41.0,4.6,54.4
6s 7s,43.0,4.6,52.4
6s 8h,43.6,5.8,50.6
6s 8d,40.4,3.0,56.6
6s 8c,39.6,4.8,55.6
6s 8s,45.6,4.8,49.6
6s 9h,45.0,5.2,49.8
6s 9d,41.2,5.0,53.8
6s 9c,38.4,6.0,55.6
6s 9s,45.6,5.6,48.8
6s Th,41.2,5.0,53.8
6s Td,46.4,3.4,50.2
6s Tc,47.4,3.8,48.8
6s Ts,42.8,3.6,53.6
6s Jh,40.4,4.0,55.6
6s Jd,45.2,4.0,50.8
6s Jc,46.0,4.4,49.6
6s Js,45.0,4.6,50.4
6s Qh,48.6,4.2,47.2
6s Qd,45.8,5.0,49.2
6s Qc,49.4,3.4,47.2
6s Qs,49.8,4.4,45.8
6s Kh,51.0,3.4,45.6
6s Kd,54.6,4.4,41.0
6s Kc,50.0,4.0,46.0
6s Ks,56.8,3.4,39.8
6s Ah,59.2,4.2,36.6
6s Ad,54.6,4.4,41.0
6s Ac,54.8,3.4,41.8
6s As,62.2,2.6,35.2
7h 7d,67.4,0.6,32.0
7h 7c,66.6,0.6,32.8
7h 7s,64.0,1.6,34.4
7h 8h,48.2,4.0,47.8
7h 8d,41.6,5.4,53.0
7h 8c,39.4,6.4,54.2
7h 8s,44.8,4.0,51.2
7h 9h,49.4,4.6,46.0
7h 9d,44.2,3.8,52.0
7h 9c,42.6,4.4,53.0
7h 9s,42.0,5.4,52.6
7h Th,48.8,3.6,47.6
7h Td,45.2,4.6,50.2
7h Tc,46.6,4.4,49.0
7h Ts,50.6,3.8,45.6
7h Jh,50.0,3.6,46.4
7h Jd,45.4,3.2,51.4
7h Jc,48.0,3.4,48.6
7h Js,47.6,4.4,48.0
7h Qh,52.4,3.4,44.2
7h Qd,47.2,4.6,48.2
7h Qc,48.8,5.2,46.0
7h Qs,53.0,3.2,43.8
7h Kh,54.4,3.0,42.6
7h Kd,53.6,3.2,43.2
7h Kc,55.0,4.8,40.2
7h Ks,53.2,5.4,41.4
7h Ah,58.4,4.0,37.6
7h Ad,60.0,2.0,38.0
7h Ac,58.0,3.4,38.6
7h As,57.0,2.8,40.2
7d 7c,64.2,0.8,35.0
7d 7s,64.4,0.4,35.2
7d 8h,42.8,4.0,53.2
7d 8d,41.8,4.2,54.0
7d 8c,42.2,4.0,53.8
7d 8s,42.0,5.6,52.4
7d 9h,40.8,4.2,55.0
7d 9d,45.4,5.0,49.6
7d 9c,45.6,4.4,50.0
7d 9s,43.8,5.2,51.0
7d Th,45.4,4.6,50.0
7d Td,49.6,3.8,46.6
7d Tc,45.6,4.2,50.2
7d Ts,44.2,3.8,52.0
7d Jh,49.2,4.0,46.8
7d Jd,51.0,4.4,44.6
7d Jc,50.2,3.0,46.8
7d Js,50.2,3.4,46.4
7d Qh,47.0,3.4,49.6
7d Qd,54.2,3.8,42.0
7d Qc,47.8,5.0,47.2
7d Qs,50.6,3.0,46.4
7d Kh,53.8,3.4,42.8
7d Kd,56.4,2.4,41.2
7d Kc,57.2,2.8,40.0
7d Ks,57.2,3.0,39.8
7d Ah,59.6,2.0,38.4
7d Ad,56.0,3.0,41.0
7d Ac,57.2,3.2,39.6
7d As,59.0,2.6,38.4
7c 7s,65.4,0.0,34.6
7c 8h,41.2,4.2,54.6
7c 8d,40.6,5.2,54.2
7c 8c,44.4,4.2,51.4
7c 8s,43.2,5.6,51.2
7c 9h,41.6,5.4,53.0
7c 9d,44.2,4.8,51.0
7c 9c,51.6,4.0,44.4
7c 9s,42.2,4.6,53.2
7c Th,45.0,4.0,51.0
7c Td,49.0,4.2,46.8
7c Tc,47.4,4.0,48.6
7c Ts,45.0,2.6,52.4
7c Jh,46.4,2.6,51.0
7c Jd,44.0,3.2,52.8
7c Jc,49.6,5.4,45.0
7c Js,48.0,4.8,47.2
7c Qh,47.0,4.6,48.4
7c Qd,45.0,2.6,52.4
7c Qc,49.4,3.4,47.2
7c Qs,49.6,4.4,46.0
7c Kh,52.2,3.4,44.4
7c Kd,55.2,3.2,41.6
7c Kc,54.4,3.4,42.2
7c Ks,53.4,4.0,42.6
7c Ah,55.8,4.2,40.0
7c Ad,51.2,3.6,45.2
7c Ac,59.0,2.2,38.8
7c As,57.0,3.0,40.0
7s 8h,43.8,5.6,50.6
7s 8d,44.8,5.4,49.8
7s 8c,46.2,4.2,49.6
7s 8s,47.0,3.2,49.8
7s 9h,42.2,3.6,54.2
7s 9d,44.6,3.2,52.2
7s 9c,43.8,4.0,52.2
7s 9s,45.2,4.6,50.2
7s Th,45.8,3.0,51.2
7s Td,45.6,2.8,51.6
7s Tc,49.0,4.0,47.0
7s Ts,48.0,4.2,47.8
7s Jh,45.0,4.4,50.6
7s Jd,48.0,3.2,48.8
7s Jc,48.8,3.4,47.8
7s Js,55.4,3.0,41.6
7s Qh,48.0,3.8,48.2
7s Qd,52.2,3.4,44.4
7s Qc,50.6,3.8,45.6
7s Qs,56.2,4.0,39.8
7s Kh,53.6,5.2,41.2
7s Kd,55.6,4.0,40.4
7s Kc,52.6,5.2,42.2
7s Ks,57.4,2.8,39.8
7s Ah,58.0,1.6,40.4
7s Ad,60.8,3.4,35.8
7s Ac,55.8,4.8,39.4
7s As,61.0,2.8,36.2
8h 8d,63.6,1.0,35.4
8h 8c,68.6,1.2,30.2
8h 8s,67.2,0.6,32.2
8h 9h,47.0,3.4,49.6
8h 9d,42.6,3.6,53.8
8h 9c,44.8,6.4,48.8
8h 9s,47.4,3.8,48.8
8h Th,45.6,3.6,50.8
8h Td,49.4,4.6,46.0
8h Tc,50.4,3.4,46.2
8h Ts,50.8,3.8,45.4
8h Jh,53.6,3.2,43.2
8h Jd,49.4,3.8,46.8
8h Jc,49.2,4.6,46.2
8h Js,49.2,4.0,46.8
8h Qh,52.0,3.0,45.0
8h Qd,52.2,2.6,45.2
8h Qc,53.4,3.4,43.2
8h Qs,48.0,4.6,47.4
8h Kh,56.0,2.8,41.2
8h Kd,56.0,2.2,41.8
8h Kc,51.4,3.8,44.8
8h Ks,50.8,5.0,44.2
8h Ah,62.2,1.8,36.0
8h Ad,59.2,3.4,37.4
8h Ac,57.6,3.6,38.8
8h As,56.0,2.4,41.6
8d 8c,66.6,1.0,32.4
8d 8s,66.2,1.0,32.8
8d 9h,48.0,5.6,46.4
8d 9d,51.2,3.4,45.4
8d 9c,48.2,3.4,48.4
8d 9s,45.2,3.2,51.6
8d Th,46.6,4.4,49.0
8d Td,48.6,3.8,47.6
8d Tc,46.6,3.2,50.2
8d Ts,50.0,4.0,46.0
8d Jh,50.8,4.2,45.0
8d Jd,53.4,3.8,42.8
8d Jc,52.8,3.4,43.8
8d Js,50.2,5.0,44.8
8d Qh,56.6,4.2,39.2
8d Qd,53.4,2.6,44.0
8d Qc,51.0,4.0,45.0
8d Qs,53.2,5.2,41.6
8d Kh,50.8,3.2,46.0
8d Kd,53.0,2.8,44.2
8d Kc,54.6,3.0,42.4
8d Ks,54.0,3.2,42.8
8d Ah,57.4,2.4,40.2
8d Ad,58.2,3.4,38.4
8d Ac,59.8,2.0,38.2
8d As,58.2,2.0,39.8
8c 8s,70.8,0.8,28.4
8c 9h,40.6,4.0,55.4
8c 9d,47.2,4.0,48.8
8c 9c,49.2,3.8,47.0
8c 9s,46.2,4.4,49.4
8c Th,49.6,3.2,47.2
8c Td,49.8,3.6,46.6
8c Tc,49.0,6.6,44.4
8c Ts,45.2,2.8,52.0
8c Jh,45.6,3.2,51.2
8c Jd,48.6,2.4,49.0
8c Jc,54.6,2.8,42.6
8c Js,53.4,3.4,43.2
8c Qh,51.4,1.8,46.8
8c Qd,55.8,2.4,41.8
8c Qc,53.8,3.6,42.6
8c Qs,53.6,3.8,42.6
8c Kh,57.4,2.8,39.8
8c Kd,52.4,2.0,45.6
8c Kc,58.6,2.2,39.2
8c Ks,53.2,3.4,43.4
8c Ah,56.6,3.0,40.4
8c Ad,58.6,3.2,38.2
8c Ac,60.8,3.0,36.2
8c As,61.8,2.4,35.8
8s 9h,47.6,2.8,49.6
8s 9d,48.0,4.2,47.8
8s 9c,41.8,3.8,54.4
8s 9s,50.2,3.4,46.4
8s Th,53.0,2.8,44.2
8s Td,47.8,3.4,48.8
8s Tc,48.4,4.0,47.6
8s Ts,50.2,4.0,45.8
8s Jh,51.8,4.2,44.0
8s Jd,50.8,3.0,46.2
8s Jc,50.8,5.0,44.2
8s Js,53.2,2.0,44.8
8s Qh,51.0,3.2,45.8
8s Qd,53.0,2.8,44.2
8s Qc,52.2,3.8,44.0
8s Qs,52.6,3.2,44.2
8s Kh,51.8,2.4,45.8
8s Kd,56.4,2.4,41.2
8s Kc,56.4,3.2,40.4
8s Ks,53.6,4.2,42.2
8s Ah,57.8,2.6,39.6
8s Ad,58.2,4.6,37.2
8s Ac,61.2,3.4,35.4
8s As,60.2,3.2,36.6
9h 9d,71.4,0.0,28.6
9h 9c,71.6,0.6,27.8
9h 9s,68.8,1.2,30.0
9h Th,51.8,3.2,45.0
9h Td,52.2,2.8,45.0
9h Tc,50.8,2.4,46.8
9h Ts,48.6,4.2,47.2
9h Jh,52.4,3.6,44.0
9h Jd,52.2,3.4,44.4
9h Jc,50.2,3.6,46.2
9h Js,51.4,2.8,45.8
9h Qh,55.0,2.8,42.2
9h Qd,54.8,4.0,41.2
9h Qc,53.6,3.6,42.8
9h Qs,52.6,3.2,44.2
9h Kh,58.8,4.0,37.2
9h Kd,56.6,3.8,39.6
9h Kc,57.8,3.8,38.4
9h Ks,55.8,1.8,42.4
9h Ah,58.0,3.2,38.8
9h Ad,63.6,1.8,34.6
9h Ac,62.6,2.2,35.2
9h As,61.4,3.2,35.4
9d 9c,70.6,0.8,28.6
9d 9s,72.8,1.0,26.2
9d Th,48.8,3.6,47.6
9d Td,51.0,4.2,44.8
9d Tc,48.8,2.8,48.4
9d Ts,49.2,3.6,47.2
9d Jh,48.2,5.0,46.8
9d Jd,52.2,3.8,44.0
9d Jc,51.4,3.4,45.2
9d Js,50.4,3.4,46.2
9d Qh,48.2,2.6,49.2
9d Qd,56.2,1.6,42.2
9d Qc,52.8,2.6,44.6
9d Qs,52.8,3.4,43.8
9d Kh,52.8,2.6,44.6
9d Kd,57.4,2.0,40.6
9d Kc,59.2,3.2,37.6
9d Ks,58.8,3.8,37.4
9d Ah,60.2,2.8,37.0
9d Ad,61.0,2.4,36.6
9d Ac,60.4,1.4,38.2
9d As,58.2,1.6,40.2
9c 9s,71.2,1.0,27.8
9c Th,53.2,3.4,43.4
9c Td,52.0,3.0,45.0
9c Tc,51.6,4.0,44.4
9c Ts,47.8,3.0,49.2
9c Jh,55.8,2.6,41.6
9c Jd,51.8,3.2,45.0
9c Jc,53.4,3.4,43.2
9c Js,48.2,3.0,48.8
9c Qh,49.8,3.6,46.6
9c Qd,52.0,2.4,45.6
9c Qc,56.4,2.0,41.6
9c Qs,52.8,1.2,46.0
9c Kh,59.6,3.4,37.0
9c Kd,57.6,2.4,40.0
9c Kc,55.6,2.2,42.2
9c Ks,58.6,3.0,38.4
9c Ah,61.8,3.2,35.0
9c Ad,59.8,2.2,38.0
9c Ac,61.4,2.0,36.6
9c As,57.2,3.6,39.2
9s Th,50.4,4.2,45.4
9s Td,48.2,2.8,49.0
9s Tc,48.0,4.8,47.2
9s Ts,56.2,1.4,42.4
9s Jh,53.8,2.0,44.2
9s Jd,52.0,2.4,45.6
9s Jc,52.6,3.8,43.6
9s Js,54.6,3.8,41.6
9s Qh,52.4,2.6,45.0
9s Qd,54.4,3.6,42.0
9s Qc,53.4,3.4,43.2
9s Qs,57.2,2.0,40.8
9s Kh,58.6,2.4,39.0
9s Kd,53.4,2.2,44.4
9s Kc,54.0,2.4,43.6
9s Ks,61.8,2.2,36.0
9s Ah,57.6,3.2,39.2
9s Ad,62.6,2.6,34.8
9s Ac,58.6,2.4,39.0
9s As,62.8,2.6,34.6
Th Td,77.0,0.4,22.6
Th Tc,76.4,1.6,22.0
Th Ts,74.4,0.4,25.2
Th Jh,57.8,2.8,39.4
Th Jd,55.2,3.4,41.4
Th Jc,54.8,2.8,42.4
Th Js,51.8,2.6,45.6
Th Qh,54.8,3.0,42.2
Th Qd,61.4,2.2,36.4
Th Qc,55.0,4.0,41.0
Th Qs,55.8,2.2,42.0
Th Kh,58.0,2.8,39.2
Th Kd,59.4,3.0,37.6
Th Kc,56.2,1.6,42.2
Th Ks,58.6,3.4,38.0
Th Ah,64.0,2.0,34.0
Th Ad,59.8,3.4,36.8
Th Ac,64.4,1.8,33.8
Th As,63.4,3.0,33.6
Td Tc,73.2,0.8,26.0
Td Ts,77.2,0.8,22.0
Td Jh,53.2,2.4,44.4
Td Jd,57.2,2.2,40.6
Td Jc,53.4,2.8,43.8
Td Js,54.6,2.6,42.8
Td Qh,52.6,2.4,45.0
Td Qd,59.4,3.2,37.4
Td Qc,54.0,4.0,42.0
Td Qs,57.0,2.2,40.8
Td Kh,59.6,1.8,38.6
Td Kd,61.2,1.4,37.4
Td Kc,57.6,3.8,38.6
Td Ks,57.0,3.0,40.0
Td Ah,60.6,3.4,36.0
Td Ad,65.0,1.6,33.4
Td Ac,59.4,2.0,38.6
Td As,60.6,2.0,37.4
Tc Ts,77.8,0.6,21.6
Tc Jh,54.6,3.2,42.2
Tc Jd,58.8,3.8,37.4
Tc Jc,54.6,2.4,43.0
Tc Js,50.4,2.6,47.0
Tc Qh,57.4,1.8,40.8
Tc Qd,55.4,2.8,41.8
Tc Qc,57.8,2.4,39.8
Tc Qs,55.4,3.8,40.8
Tc Kh,57.8,2.0,40.2
Tc Kd,60.8,4.6,34.6
Tc Kc,62.4,2.4,35.2
Tc Ks,60.8,1.4,37.8
Tc Ah,60.4,1.6,38.0
Tc Ad,59.6,2.4,38.0
Tc Ac,62.2,2.2,35.6
Tc As,63.6,2.8,33.6
Ts Jh,48.2,3.2,48.6
Ts Jd,52.0,1.6,46.4
Ts Jc,53.6,2.8,43.6
Ts Js,57.6,1.8,40.6
Ts Qh,56.0,3.0,41.0
Ts Qd,59.4,1.6,39.0
Ts Qc,56.2,2.4,41.4
Ts Qs,57.8,2.0,40.2
Ts Kh,60.8,2.0,37.2
Ts Kd,59.2,3.2,37.6
Ts Kc,59.8,1.8,38.4
Ts Ks,62.6,1.8,35.6
Ts Ah,62.2,2.4,35.4
Ts Ad,64.4,2.0,33.6
Ts Ac,62.2,2.0,35.8
Ts As,65.2,2.8,32.0
Jh Jd,74.6,0.4,25.0
Jh Jc,80.8,0.0,19.2
Jh Js,77.6,1.0,21.4
Jh Qh,60.0,2.6,37.4
Jh Qd,60.6,2.0,37.4
Jh Qc,56.6,3.2,40.2
Jh Qs,54.2,3.8,42.0
Jh Kh,61.2,1.4,37.4
Jh Kd,61.0,2.0,37.0
Jh Kc,55.2,2.6,42.2
Jh Ks,58.4,1.8,39.8
Jh Ah,62.6,1.0,36.4
Jh Ad,59.8,3.2,37.0
Jh Ac,62.8,2.0,35.2
Jh As,60.2,1.8,38.0
Jd Jc,80.0,0.8,19.2
Jd Js,77.4,0.6,22.0
Jd Qh,56.0,1.8,42.2
Jd Qd,57.4,2.2,40.4
Jd Qc,55.8,1.6,42.6
Jd Qs,57.4,2.8,39.8
Jd Kh,60.0,1.8,38.2
Jd Kd,61.0,1.6,37.4
Jd Kc,61.0,2.6,36.4
Jd Ks,55.6,1.8,42.6
Jd Ah,63.8,1.6,34.6
Jd Ad,63.0,1.6,35.4
Jd Ac,60.2,2.6,37.2
Jd As,66.2,1.8,32.0
Jc Js,77.6,0.2,22.2
Jc Qh,60.2,1.2,38.6
Jc Qd,59.6,2.6,37.8
Jc Qc,61.6,1.6,36.8
Jc Qs,60.4,3.4,36.2
Jc Kh,60.0,2.8,37.2
Jc Kd,57.4,2.2,40.4
Jc Kc,62.6,1.2,36.2
Jc Ks,59.4,2.0,38.6
Jc Ah,64.6,2.0,33.4
Jc Ad,60.4,2.4,37.2
Jc Ac,64.4,1.4,34.2
Jc As,66.4,2.6,31.0
Js Qh,56.2,2.0,41.8
Js Qd,56.0,3.8,40.2
Js Qc,57.8,1.2,41.0
Js Qs,59.8,2.8,37.4
Js Kh,59.6,1.8,38.6
Js Kd,58.2,1.6,40.2
Js Kc,56.0,1.2,42.8
Js Ks,59.0,2.6,38.4
Js Ah,66.8,1.4,31.8
Js Ad,62.4,2.8,34.8
Js Ac,59.0,0.8,40.2
Js As,61.8,2.2,36.0
Qh Qd,81.0,0.2,18.8
Qh Qc,80.6,0.8,18.6
Qh Qs,78.6,0.6,20.8
Qh Kh,62.0,1.6,36.4
Qh Kd,60.6,1.4,38.0
Qh Kc,56.8,2.2,41.0
Qh Ks,63.6,1.8,34.6
Qh Ah,64.2,2.0,33.8
Qh Ad,61.8,1.0,37.2
Qh Ac,64.8,1.0,34.2
Qh As,60.6,2.4,37.0
Qd Qc,77.4,0.8,21.8
Qd Qs,79.8,0.2,20.0
Qd Kh,58.2,2.0,39.8
Qd Kd,62.4,2.0,35.6
Qd Kc,58.6,2.0,39.4
Qd Ks,59.8,2.2,38.0
Qd Ah,63.8,2.2,34.0
Qd Ad,64.4,2.6,33.0
Qd Ac,63.8,2.2,34.0
Qd As,59.2,1.2,39.6
Qc Qs,79.0,0.6,20.4
Qc Kh,60.2,2.2,37.6
Qc Kd,64.2,1.2,34.6
Qc Kc,64.8,2.8,32.4
Qc Ks,58.4,2.0,39.6
Qc Ah,63.4,1.6,35.0
Qc Ad,63.4,1.4,35.2
Qc Ac,63.8,1.4,34.8
Qc As,66.0,1.8,32.2
Qs Kh,59.0,1.6,39.4
Qs Kd,59.2,2.2,38.6
Qs Kc,62.0,0.8,37.2
Qs Ks,59.8,1.6,38.6
Qs Ah,63.2,2.8,34.0
Qs Ad,63.4,2.8,33.8
Qs Ac,61.6,1.8,36.6
Qs As,67.0,1.6,31.4
Kh Kd,84.8,0.6,14.6
Kh Kc,80.4,0.6,19.0
Kh Ks,82.0,0.4,17.6
Kh Ah,64.6,0.6,34.8
Kh Ad,65.4,1.8,32.8
Kh Ac,64.6,0.8,34.6
Kh As,64.6,1.2,34.2
Kd Kc,84.8,0.8,14.4
Kd Ks,81.8,0.4,17.8
Kd Ah,63.6,1.2,35.2
Kd Ad,59.4,1.4,39.2
Kd Ac,64.8,2.2,33.0
Kd As,64.6,2.4,33.0
Kc Ks,82.4,0.4,17.2
Kc Ah,65.0,2.2,32.8
Kc Ad,64.4,2.0,33.6
Kc Ac,66.0,2.4,31.6
Kc As,64.8,1.8,33.4
Ks Ah,65.2,1.0,33.8
Ks Ad,65.0,1.2,33.8
Ks Ac,62.6,2.4,35.0
Ks As,65.2,1.6,33.2
Ah Ad,87.4,0.0,12.6
Ah Ac,87.2,0.6,12.2
Ah As,86.4,0.4,13.2
Ad Ac,84.2,0.4,15.4
Ad As,84.8,0.6,14.6
Ac As,84.2,1.0,14.8
